
===================================BUG REPORT===================================
Welcome to bitsandbytes. For bug reports, please run

python -m bitsandbytes

 and submit this information together with your error trace to: https://github.com/TimDettmers/bitsandbytes/issues
================================================================================
bin /opt/conda/lib/python3.10/site-packages/bitsandbytes/libbitsandbytes_cuda118.so
CUDA SETUP: CUDA runtime path found: /usr/local/cuda/lib64/libcudart.so
CUDA SETUP: Highest compute capability among GPUs detected: 8.0
CUDA SETUP: Detected CUDA version 118
CUDA SETUP: Loading binary /opt/conda/lib/python3.10/site-packages/bitsandbytes/libbitsandbytes_cuda118.so...
{'model_name': 'tiny_LLaMA_120M_SSM_O2', 'name': 'tinyllama_120m_ssm_o2', 'num_of_devices': 1, 'global_batch_size': 16, 'learning_rate': 0.001, 'micro_batch_size': 16, 'max_step': 230000, 'warmup_steps': 2000, 'log_step_interval': 100, 'eval_iters': 100, 'save_step_interval': 5000, 'eval_step_interval': 5000, 'weight_decay': 0.25, 'beta1': 0.9, 'beta2': 0.999, 'grad_clip': 1.0, 'decay_lr': True, 'min_lr': 4e-05, 'batch_size': 16, 'gradient_accumulation_steps': 1, 'warmup_iters': 2000, 'max_iters': 230000, 'lr_decay_iters': 230000, 'log_iter_interval': 100}
Loading model with {'org': 'StatNLP-research', 'name': 'tiny_LLaMA_120M_SSM_O2', 'block_size': 1024, 'vocab_size': 50257, 'padding_multiple': 1, 'padded_vocab_size': 50257, 'n_layer': 12, 'n_head': 12, 'n_embd': 768, 'n_ssm': 128, 'order': 2, 'rotary_percentage': 1.0, 'parallel_residual': False, 'bias': True, 'n_query_groups': 1, 'shared_attention_norm': False, '_norm_class': 'FusedRMSNorm', 'norm_eps': 1e-05, '_mlp_class': 'LLaMAMLP', 'intermediate_size': 3072, 'condense_ratio': 1, 'time_mixer': 'ssm'}
Time to instantiate model: 0.22 seconds.
Total parameters 165,901,056
Validating ...
Sanity check, val loss 11.0200, val time: 3274.45ms
Estimated TFLOPs: 19.40
iter 1 step 1: loss 10.9750, iter time: 171.45ms (optimizer.step) remaining time: 14.20 hours.  or 0.59 days. 
iter 2 step 2: loss 11.0721, iter time: 102.09ms (optimizer.step) remaining time: 10.44 hours.  or 0.44 days. 
iter 3 step 3: loss 11.0026, iter time: 99.72ms (optimizer.step) remaining time: 9.15 hours.  or 0.38 days. 
iter 4 step 4: loss 11.0388, iter time: 99.53ms (optimizer.step) remaining time: 8.49 hours.  or 0.35 days. 
iter 5 step 5: loss 11.0051, iter time: 99.81ms (optimizer.step) remaining time: 8.10 hours.  or 0.34 days. 
iter 6 step 6: loss 11.0081, iter time: 102.22ms (optimizer.step) remaining time: 7.86 hours.  or 0.33 days. 
iter 7 step 7: loss 10.9965, iter time: 103.35ms (optimizer.step) remaining time: 7.70 hours.  or 0.32 days. 
iter 8 step 8: loss 10.9491, iter time: 99.97ms (optimizer.step) remaining time: 7.55 hours.  or 0.31 days. 
iter 9 step 9: loss 11.0472, iter time: 100.38ms (optimizer.step) remaining time: 7.44 hours.  or 0.31 days. 
iter 10 step 10: loss 10.9859, iter time: 100.13ms (optimizer.step) remaining time: 7.35 hours.  or 0.31 days. 
iter 11 step 11: loss 11.0081, iter time: 100.00ms (optimizer.step) remaining time: 7.28 hours.  or 0.30 days. 
iter 12 step 12: loss 10.9778, iter time: 100.24ms (optimizer.step) remaining time: 7.21 hours.  or 0.30 days. 
iter 13 step 13: loss 10.9962, iter time: 99.98ms (optimizer.step) remaining time: 7.16 hours.  or 0.30 days. 
iter 14 step 14: loss 10.9959, iter time: 99.84ms (optimizer.step) remaining time: 7.12 hours.  or 0.30 days. 
iter 15 step 15: loss 11.0088, iter time: 100.30ms (optimizer.step) remaining time: 7.08 hours.  or 0.29 days. 
iter 16 step 16: loss 10.9994, iter time: 99.98ms (optimizer.step) remaining time: 7.04 hours.  or 0.29 days. 
iter 17 step 17: loss 10.9487, iter time: 100.25ms (optimizer.step) remaining time: 7.01 hours.  or 0.29 days. 
iter 18 step 18: loss 10.9699, iter time: 100.31ms (optimizer.step) remaining time: 6.99 hours.  or 0.29 days. 
