
===================================BUG REPORT===================================
Welcome to bitsandbytes. For bug reports, please run

python -m bitsandbytes

 and submit this information together with your error trace to: https://github.com/TimDettmers/bitsandbytes/issues
================================================================================
bin /opt/conda/lib/python3.10/site-packages/bitsandbytes/libbitsandbytes_cuda118.so
CUDA SETUP: CUDA runtime path found: /usr/local/cuda/lib64/libcudart.so.11.0
CUDA SETUP: Highest compute capability among GPUs detected: 8.0
CUDA SETUP: Detected CUDA version 118
CUDA SETUP: Loading binary /opt/conda/lib/python3.10/site-packages/bitsandbytes/libbitsandbytes_cuda118.so...
{'model_name': 'tiny_LLaMA_120M_SSM_O2_softplus', 'name': 'tinyllama_120m_ssm_o2_softplus', 'num_of_devices': 1, 'global_batch_size': 512, 'learning_rate': 0.01, 'micro_batch_size': 16, 'max_step': 10000, 'warmup_steps': 10, 'log_step_interval': 10, 'eval_iters': 100, 'save_step_interval': 2000, 'eval_step_interval': 2000, 'weight_decay': 0.1, 'beta1': 0.9, 'beta2': 0.95, 'grad_clip': 1.0, 'decay_lr': True, 'min_lr': 4e-05, 'batch_size': 512, 'gradient_accumulation_steps': 32, 'warmup_iters': 320, 'max_iters': 320000, 'lr_decay_iters': 320000, 'log_iter_interval': 320}
Loading model with {'org': 'StatNLP-research', 'name': 'tiny_LLaMA_120M_SSM_O2_softplus', 'block_size': 2048, 'vocab_size': 32000, 'padding_multiple': 64, 'padded_vocab_size': 32000, 'n_layer': 12, 'n_head': 12, 'n_embd': 768, 'n_ssm': 128, 'order': 2, 'rotary_percentage': 1.0, 'parallel_residual': False, 'bias': False, 'n_query_groups': 1, 'shared_attention_norm': False, '_norm_class': 'FusedRMSNorm', 'norm_eps': 1e-05, '_mlp_class': 'LLaMAMLP', 'intermediate_size': 2048, 'condense_ratio': 1, 'time_mixer': 'ssm', 'parameterization': 'softplus'}
Time to instantiate model: 0.21 seconds.
Total parameters 109,532,928
Estimated TFLOPs: 33.90
iter 1 step 0: loss 10.5525, iter time: 393.13ms remaining time: 38.47 hours.  or 1.60 days. 
iter 2 step 0: loss 10.5568, iter time: 197.05ms remaining time: 28.08 hours.  or 1.17 days. 
iter 3 step 0: loss 10.5583, iter time: 195.69ms remaining time: 24.55 hours.  or 1.02 days. 
iter 4 step 0: loss 10.5667, iter time: 196.53ms remaining time: 22.80 hours.  or 0.95 days. 
iter 5 step 0: loss 10.5561, iter time: 196.06ms remaining time: 21.75 hours.  or 0.91 days. 
iter 6 step 0: loss 10.5605, iter time: 196.02ms remaining time: 21.04 hours.  or 0.88 days. 
iter 7 step 0: loss 10.5642, iter time: 200.55ms remaining time: 20.60 hours.  or 0.86 days. 
iter 8 step 0: loss 10.5580, iter time: 197.75ms remaining time: 20.24 hours.  or 0.84 days. 
iter 9 step 0: loss 10.5618, iter time: 197.77ms remaining time: 19.96 hours.  or 0.83 days. 
iter 10 step 0: loss 10.5693, iter time: 197.38ms remaining time: 19.73 hours.  or 0.82 days. 
iter 11 step 0: loss 10.5632, iter time: 198.46ms remaining time: 19.55 hours.  or 0.81 days. 
iter 12 step 0: loss 10.5638, iter time: 198.48ms remaining time: 19.40 hours.  or 0.81 days. 
iter 13 step 0: loss 10.5497, iter time: 196.95ms remaining time: 19.27 hours.  or 0.80 days. 
iter 14 step 0: loss 10.5601, iter time: 197.37ms remaining time: 19.15 hours.  or 0.80 days. 
iter 15 step 0: loss 10.5528, iter time: 197.47ms remaining time: 19.05 hours.  or 0.79 days. 
iter 16 step 0: loss 10.5568, iter time: 197.46ms remaining time: 18.96 hours.  or 0.79 days. 
iter 17 step 0: loss 10.5605, iter time: 197.99ms remaining time: 18.89 hours.  or 0.79 days. 
iter 18 step 0: loss 10.5654, iter time: 198.23ms remaining time: 18.83 hours.  or 0.78 days. 
iter 19 step 0: loss 10.5647, iter time: 197.85ms remaining time: 18.77 hours.  or 0.78 days. 
iter 20 step 0: loss 10.5577, iter time: 197.99ms remaining time: 18.71 hours.  or 0.78 days. 
iter 21 step 0: loss 10.5644, iter time: 197.69ms remaining time: 18.66 hours.  or 0.78 days. 
